ID,Region,Cultivar,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Fruit_yield_Mg_ha,Yield class
2014_001,Quebec,Stevens,7.697,0.911,6.898,1.91,6.923,0.055,0.004,0.013,0.172,0.11,37.12,Low yield
2014_002,Quebec,Stevens,8.2167,0.974,5.29,2.249,8.434,0.0432,0.003,0.016,0.144,0.122,21.72,Low yield
2014_003,Quebec,Stevens,9.8356,0.905,5.057,2.279,8.233,0.0674,0.003,0.015,0.175,0.208,48.79,High yield
2014_004,Quebec,Stevens,9.1829,0.959,5.253,2.317,8.107,0.0497,0.003,0.016,0.16,0.167,28.83,Low yield
2014_005,Quebec,Stevens,10.223,0.903,4.78,2.278,8.213,0.0543,0.004,0.014,0.237,0.151,55.04,High yield
2014_006,Quebec,Stevens,10.4,1.008,4.761,2.442,9.037,0.048,0.003,0.014,0.205,0.112,38.84,Low yield
2014_007,Quebec,Stevens,11.191,0.958,4.807,2.3,8.71,0.0547,0.004,0.014,0.277,0.248,59.89,High yield
2014_008,Quebec,Stevens,10.718,0.973,4.726,2.265,8.178,0.0427,0.003,0.014,0.171,0.17,39.98,Low yield
2014_009,Quebec,Stevens,11.826,0.978,5.089,2.275,8.747,0.0673,0.003,0.014,0.218,0.146,55.8,High yield
2014_010,Quebec,Stevens,12.232,1.047,4.653,2.372,8.577,0.0487,0.003,0.014,0.203,0.106,27.45,Low yield
2014_011,Quebec,Stevens,10.43,0.853,4.334,2.145,8.376,0.0482,0.002,0.016,0.238,0.115,61,High yield
2014_012,Quebec,Stevens,10.672,0.887,4.365,2.12,8.468,0.0495,0.002,0.015,0.187,0.095,50.41,High yield
2014_013,Quebec,Stevens,11.286,0.867,4.718,1.921,7.906,0.0703,0.002,0.011,0.181,0.278,61.14,High yield
2014_014,Quebec,Stevens,10.74,0.913,4.268,2.188,8.445,0.0555,0.003,0.013,0.182,0.104,43.48,High yield
2014_015,Quebec,Stevens,11.303,0.971,4.536,2.235,8.793,0.0575,0.002,0.013,0.21,0.116,63.74,High yield
2014_016,Quebec,Stevens,11.13,0.939,4.174,2.117,8.269,0.0473,0.002,0.012,0.176,0.085,36.15,Low yield
2014_017,Quebec,Stevens,10.868,0.893,4.037,2.318,8.718,0.0559,0.003,0.016,0.184,0.155,58.63,High yield
2014_018,Quebec,Stevens,10.585,0.983,4.153,2.439,8.785,0.0531,0.002,0.013,0.219,0.117,33.52,Low yield
2014_019,Quebec,Stevens,10.672,0.944,4.397,2.343,9.417,0.0559,0.002,0.016,0.233,0.143,58.04,High yield
2014_020,Quebec,Stevens,10.922,0.955,4.405,2.168,8.039,0.0543,0.003,0.013,0.189,0.122,37.9,Low yield
2014_021,Quebec,Stevens,11.063,0.952,4.458,2.18,9.103,0.0663,0.003,0.014,0.201,0.15,69.22,High yield
2014_022,Quebec,Stevens,10.954,0.979,4.91,2.053,7.858,0.0593,0.002,0.013,0.184,0.088,46.39,High yield
2014_023,Quebec,Stevens,10.726,0.958,4.62,2.172,8.074,0.0602,0.002,0.013,0.226,0.145,61.99,High yield
2014_024,Quebec,Stevens,9.8105,0.865,4.979,1.786,7.337,0.0466,0.003,0.013,0.149,0.079,42.21,High yield
2014_025,Quebec,Stevens,10.205,0.892,4.115,2.039,7.843,0.036,0.002,0.012,0.199,0.093,60.51,High yield
2014_026,Quebec,Stevens,11.566,0.961,4.374,2.26,8.901,0.0203,0.002,0.013,0.187,0.095,44.16,High yield
2014_027,Quebec,Stevens,10.847,0.919,4.569,2.033,7.799,0.0589,0.002,0.011,0.21,0.083,74.14,High yield
2014_028,Quebec,Stevens,11.385,0.935,4.274,2.173,8.257,0.0538,0.002,0.014,0.192,0.114,34.44,Low yield
2014_029,Quebec,Stevens,10.47,0.87,4.474,1.983,7.769,0.0509,0.002,0.01,0.19,0.101,52.23,High yield
2014_030,Quebec,Stevens,10.53,0.94,4.588,1.955,8.131,0.0567,0.002,0.008,0.157,0.088,45.49,High yield
2014_031,Quebec,Stevens,10.87,0.919,4.595,2.284,8.924,0.0653,0.004,0.015,0.225,0.176,55.21,High yield
2014_032,Quebec,Stevens,10.935,0.925,4.562,2.145,7.553,0.0553,0.003,0.009,0.184,0.11,47.08,High yield
2014_033,Quebec,Stevens,11.477,0.945,5.001,2.075,8.164,0.062,0.003,0.014,0.21,0.16,60.53,High yield
2014_034,Quebec,Stevens,11.599,0.963,4.821,1.982,8.308,0.0155,0.004,0.019,0.178,0.137,41.45,High yield
2014_035,Quebec,Stevens,11.263,0.863,4.57,2.005,8.19,0.058,0.003,0.013,0.175,0.125,59.3,High yield
2014_036,Quebec,Stevens,9.5436,0.817,5.421,1.775,7.685,0.0659,0.002,0.011,0.208,0.1,54.23,High yield
2014_037,Quebec,Stevens,6.5576,0.886,5.832,1.724,6.533,0.0877,0.002,0.013,0.097,0.148,19.46,Low yield
2014_038,Quebec,Stevens,8.0536,0.919,5.756,1.929,7.358,0.0735,0.002,0.012,0.137,0.152,12.98,Low yield
2014_039,Quebec,Stevens,8.0213,0.783,5.82,1.739,6.527,0.0768,0.003,0.012,0.138,0.168,39.12,Low yield
2014_040,Quebec,Stevens,7.6337,0.731,5.554,1.67,7.109,0.0853,0.003,0.012,0.199,0.198,21.1,Low yield
2014_041,Quebec,Stevens,8.3309,0.753,5.337,1.634,7.396,0.0775,0.003,0.014,0.151,0.232,41.84,High yield
2014_042,Quebec,Stevens,9.2181,0.833,5.248,1.855,7.404,0.0713,0.003,0.012,0.188,0.251,26.87,Low yield
2014_043,Quebec,Stevens,9.1216,0.775,5.026,1.601,7.446,0.07,0.003,0.01,0.159,0.129,41.93,High yield
2014_044,Quebec,Stevens,9.9587,0.799,5.6,1.503,7.081,0.0716,0.003,0.011,0.185,0.184,36.62,Low yield
2014_045,Quebec,Stevens,10.857,0.815,5.591,1.619,7.02,0.0685,0.003,0.011,0.197,0.204,45.99,High yield
2014_046,Quebec,Stevens,10.395,0.817,5.067,1.79,7.824,0.0667,0.003,0.014,0.226,0.193,38.2,Low yield
2014_047,Quebec,Stevens,9.1665,0.695,4.8,1.559,7.308,0.0656,0.002,0.014,0.162,0.111,40.11,High yield
2014_048,Quebec,Stevens,9.9228,0.815,5.525,1.608,6.973,0.066,0.002,0.011,0.175,0.136,36.24,Low yield
2014_049,Quebec,Stevens,9.4751,0.809,5.115,1.806,7.376,0.0708,0.003,0.014,0.164,0.119,42.01,High yield
